DISABST 2280A/B|INTRODUCTION TO INTEGRATED CO-LEARNING AND INTELLECTUAL DISABILITY|Disability Studies 2296A/B if taken in 201718, 2018-19, or 2021-22, or Disability Studies 2285E.|Disability Studies 1010A/B.|This experiential learning course uses our distinct “Integrated Co-Learning” approach, partnering students and community participants with Intellectual /Developmental Disability in collaborative, mutually-enriching projects. It strives to fulfill the Disability Studies goal of centering the voices of self-advocates. Readings and lectures on inclusion, representation, and communication, inform the interactive elements.|King's|3 hours.
DISABST 2272F/G|BIOETHICS AND DISABILITY|Philosophy 2272F/G, the former Disability Studies 2072F/G or the formerPhilosophy 2072F/G.||Introduction to how moral reasoning can help to identify and address current and emerging disability-related situations in health care practice, caregiving, health policy and research. Normative ethics, philosophy of health care, and Disability Studies models are applied to discussion of case studies.|King's|3 hours; Cross-listed with Philosophy 2272F/G.
DISABST 2270F/G|DISABILITY, GENDER, AND SEXUALITY|Disability Studies 2294A/B if taken in 2017-19.|Disability Studies 1010A/B.|This course engages students with interdisciplinary academic texts, social media, videos and art in order to thoughtfully challenge mainstream constructions of disability using a gendered lens. This course encourages students to examine the circular influence that gender and disability can have on each other.|King's|3 hours.
DISABST 2262F/G|WRITING INSTRUCTION AND DISABILITY STUDIES FRAMEWORKS||Writing 1000F/G, Writing 1020F/G, Writing 1021F/G, Writing 1022F/G, Writing 1025F/G, Writing 1030F/G, or Writing 1031F/G with at least 70%, or Writing 2101F/G or Writing 2111F/G with at least 65%; or permission of the Department.|This course invites students to analyze the implicit ableism of academic writing, and to engage with Disability Studies theorists who have foregrounded access and inclusion in teaching practice (in curricula, pedagogy, and assessment). Its active learning/practicum component will account for a substantial proportion of the course grade.|King's|3 hours, cross-listed with Writing 2262F/G.
DISABST 2224A/B|RESEARCH METHODS|Disability Studies 2295A/B if taken in 2019-20.|Disability Studies 1010A/B.|Rooted in inquiry-based learning, this course engages students in key particulars of disability research. We focus on how to craft a robust research question and choose appropriate research tools (theoretical and methodological) to locate or source relevant data. Students learn to discern and assess these elements in academic articles.|King's|3 hours, 0.5 course.
DISABST 2221A/B|CHALLENGING MEDICALIZATION|Disability Studies 2292A/B if taken in 2021-22, Disability Studies 3395F/G if taken in 2018-19, 2019-20, and Disability Studies 3321F/G if taken prior to 2021-22.|Disability Studies 1010A/B.|This course uses Disability Studies concepts to explore disability and chronic illness in the context of health professional practice. Students learn how medical and psychiatric lenses shape understandings of disability among disabled people, families, and professionals. Students consider innovative applications for Disability Studies perspectives in healthcare via case scenarios.|King's|3 hours.
DISABST 2220A/B|INCLUSION AND ACCESSIBILITY IN CAMPS|Disability Studies 2291A/B if taken in 2016-17.|Disability Studies 1010A/B.|There is no single solution for inclusion in camp and community recreational settings that satisfies the desires and needs of diverse kids. We study theories and cases of mainstream, specialized and reverse inclusion and their operationalization in organizational contexts including best practices for training, intake, disability support, accessibility and integration.|King's|3 hours.
DISABST 2218F/G|MADNESS AND MAD STUDIES|Disability Studies 2290A/B if taken in 2016-17.|Disability Studies 1010A/B.|This course draws on diverse research and first person narratives to identify and challenge mainstream ways of thinking about mental illness, psychiatry, labelling and processes of containment. Additionally, this course explores the themes of de/institutionalization, intersectionality, political economy, criminalization, housing and employment as they impact(ed) Mad people.|King's|3 hours.
DISABST 2216F/G|DISABILITY AND POPULAR CULTURE||Disability Studies 1010A/B.|Examine cultural contexts and attitudes that produce diverse, evolving representations of disability and normalcy in private reflections and public media (news, policies, memoirs, arts, social media) by care professionals, law, state, church and family. Students critique existing media representations and work on constructive alternatives.|King's|3 lecture hours.
DISABST 2214F/G|INSTITUTIONALIZATION OVER TIME|Disability Studies 2290A/B if taken in 2018-19, 2019-20.|Disability Studies 1010A/B or 1.0 from Sociology courses at the 1000-level.|This course uses diverse research and personal narratives to identify and challenge mainstream ways of thinking about the controversy of institutionalizing Intellectually and Physically Disabled, and Mad people. It explores the cultural context and social impact of the histories of de/institutionalization, intersectionality, criminalization, and housing.|King's|3 hours, 0.5 course.
DISABST 2210A/B|EDUCATION & DISABILITY STUDIES|Childhood and Social Institutions 2294B if taken in Summer 2014.|Disability Studies 1010A/B.|Learn about current and past frameworks for exceptional learners in education. Examine common systemic tensions between: macro-social policies and individualized learning plans, inclusion and specialized supports, universal design and quality, and how families navigate accessibility and relationships amidst limited resources and neoliberalism.|King's|3 hours
DISABST 2202A/B|UNDERSTANDING DISABILITY LABELS||Disability Studies 1010A/B.|Learn how common disability and neuro-diversity conditions are defined and resourced. Understand the complex nature and tacit assumptions of diagnostic contexts and care systems, past and present. Consider both the empowering and constraining bio-political implications of medical labelling for individuals and groups.|King's|3 hours
DISABST 2201F/G|RETHINKING DISABILITY|The former Disability Studies 2201A/B.|Disability Studies 1010A/B.|Disability Studies challenges the historical, medical and mainstream views of disability and mental illness as personal tragedies or solely problems to be fixed. We explore diverse approaches to imagining disability, changes over time, and associated symbolic and material outcomes.|King's|2 lecture hours, 1 tutorial hour.
DISABST 2023A/B|DISABILITY SPORTS & RECREATION|||Explore the dynamic sports and recreation venues where people with and without disability are involved in working towards diverse forms of participation and inclusion. These are crucial spheres of self-expression, sociability, integration and contribution. Recreational and elite sports, youth and adult programs and camp settings are covered.|King's|
DISABST 1010A/B|EXPLORING DISABILITY|||Explores provocative ethical and practical Disability Studies topics using a Liberal Arts framework. Students actively engage both sides of cases with legal, medical, and recreational significance. Examines how disability, mental health and neuro-diversity intersect with modern culture and social institutions.|King's|3 lecture hours.
DIGIHUM 3905F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||1.0 course of Digital Humanities at the 2000 level.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 3904F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||1.0 course of Digital Humanities at the 2000 level.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 3903F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||1.0 course of Digital Humanities at the 2000 level.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 3902F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||1.0 course of Digital Humanities at the 2000 level.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 3600F/G/Z|INTERNSHIP WITH DIGITAL HUMANITIES||Permission of the Department. Registration in the third or fourth year of a module in Digital Humanities, with a minimum cumulative modular average of 75%. Approval of, and acceptance into, an internship placement.Pre-or Corequisite(s): Students must have completed or are completing the required courses and at least 50% of the module.|The Academic Internship is an unpaid, credit internship with minimum of 60 hours. The internship will require students to make connections with academic study while undertaking supervised duties in organizations, businesses or community groups with interests related to Digital Humanities.|Western Main Campus|Pass or Fail. Students accepted for an internship will arrange individual programs with supervising faculty. The student is required to a) maintain a suitable level of performance in the position as verified by the employer through evaluations and b) submit a mid-term as well as a final report, demonstrating how the experience gained through the internshiprelates to his/her coursework and program of study.
DIGIHUM 3501F/G|ADVANCED SOCIAL NETWORKING||1.0 course of Digital Humanities at the 2000 level.|This course examines in depth the theories and methods of social network analysis. People, cultural artifacts, and historical events are all interconnected in complex ways. Students learn how to apply social network analysis to examine the interconnectedness of nodes and thereby better understand the resulting social, economic, and cultural consequences.|Western Main Campus|3 hours.
DIGIHUM 3402F/G|EXPERIMENTAL HISTORY||1.0 course of Digital Humanities at the 2000 level.|A hands-on workshop supplementing traditional historical and ethnographic methods with new modes of inquiry and expression. Students study experimental works, while working in a variety of new media including code; electronics and physical computing; 3D printing; alternate, augmented and mixed reality games; graphic novels; 3D photography; machinima and digital puppetry.|Western Main Campus|3 hours.
DIGIHUM 3401F/G|VISUALIZING CULTURAL OBJECTS||1.0 course of Digital Humanities at the 2000 level.|Focus on visualizing and capturing cultural objects in order to preserve them, to permit consultation or to allow detailed analysis. Students will use instrumentation ranging from a simple camera to laser scanners and microCT scanners. Captured objects range from simple projections on a screen to fully immersive 3D environments.|Western Main Campus|3 hours.
DIGIHUM 3304F/G|ELECTRONIC TEXTUALITY AND DIGITAL ARCHIVES||1.0 course of Digital Humanities at the 2000 level.|A combination of hands-on instruction in Text Encoding Guidelines for electronic texts and digital archive and a theoretical exploration of issues involved in editing, marking up, and structuring of texts and archival materials. Students will create their own digital edition or archive using XML and HTML5.|Western Main Campus|3 hours.
DIGIHUM 3221A/B|DATA VISUALIZATION||Computer Science 2121A/B, Computer Science 2210A/B, Digital Humanities 2220A/B, Digital Humanities 2221A/B or permission of the Department.|This interdisciplinary course addresses three main issues: how information can and should be represented; how computers can allow us to interact with information; and how interactive information supports knowledge-driven activities. Case studies explore a variety of disciplines using various tools.|Western Main Campus|2 lecture hours, 2 laboratory/tutorial hours.
DIGIHUM 3220A/B|DATABASES FOR THE HUMANITIES|Computer Science 3319A/B, Software Engineering 3352A/B, Computer Science 3120A/B.|Digital Humanities 2221A/B.|A study of relational databases. Theoretical concepts will be covered, including relational algebra and relational calculus. Commercially available database systems will be used to demonstrate concepts such as Structured-Query-Language (SQL), writing code to connect and query a database, query optimization, Atomicity-Consistency-Isolation-Durability (ACID) concepts, and database design.|Western Main Campus|3 lecture hours
DIGIHUM 3130A/B|THE METAVERSE||Digital Humanities 2120F/G or special permission of the department.|The metaverse is being proposed as the new evolution of the Internet. This course examines the metaverse with a special emphasis on virtual reality from the viewpoint of various disciplines, including business, health, education, ethics, culture and behavioral science. The bulk of the learning will occur while immersed in VR.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 3120A/B|TRANSMEDIA STORYTELLING||Digital Humanities 2222A/B.|Skills to effectively tell your story across multiple media and platforms.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 3100A/B|DESIGN-BASED INNOVATION||Digital Humanities 2222A/B.|Learn the practical tools and the theories to foster innovation in organizations based on human design principles and practices.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 2925F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2924F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2923F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2922F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2921F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2304A/B|DATA, A NEW BEST FRIEND FOR THE HUMANIST||Computer Science 1033A/B or Digital Humanities 1011A/B.|This course will cover theoretical aspects of the new use of data by humanists of different disciplines. It will serve as an introduction to the techniques and methods commonly used to make sense of data in a humanities context, such as social network analysis, generative writing, text mining or machine learning.|Western Main Campus|3 hours.
DIGIHUM 2303F/G|CULTURE, IDENTITY AND COMMUNITY IN VIRTUAL WORLDS||Computer Science 1033A/B or Digital Humanities 1011A/B.|"This course explores virtual worlds with a focus upon their articulations of new digital forms of identity, community, art, and communication. How does the extension of the ""human"" into virtual space impact our understanding of ourselves? How can virtual worlds help us reappraise who we are and what we do?"|Western Main Campus|3 hours.
DIGIHUM 2302F/G|CONNECTING CULTURES|Spanish 3801F/G.|Computer Science 1033A/B or Digital Humanities 1011A/B.|How is Shakespeare connected to Cervantes, New York to Tokyo, Baroque painting to video games? Cultural networks grow in time and space through the creation of links among their elements. Through a set of digital tools, this course focuses on the discovery of connections that make culture possible.|Western Main Campus|3 hours.
DIGIHUM 2301F/G|DIGITAL FASHION||Computer Science 1033A/B or Digital Humanities 1011A/B.|How is the digital world changing fashion? Learn how the web changes how we shop, how designers change the way they create and showcase products, how trending sites move opinions about what is cool, and how new technologies let us play with digital design.|Western Main Campus|3 hours.
DIGIHUM 2224F/G|DIGITAL STRATEGY|||Strategic tools to set the direction and pace of a digital organization according to its values, customers, technology and platforms.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 2223A/B|DIGITAL TRANSFORMATION|||Conceptual and analytical tools to understand the digital momentum of an organization and learning of tools to plan its digital transformation.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 2222A/B|HUMAN-CENTRED DESIGN|||Learn how to use human-centered design to solve practical problems across domains and businesses. Get to know the main ideas and history of human design. This is a practical, handson course. The main outcome is the production of a human design portfolio.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 2221A/B|MODERN SURVIVAL SKILLS II: PROBLEM SOLVING THROUGH PROGRAMMING|Computer Science 2210A/B, Software Engineering 2205A/B, Computer Science 2121A/B.|Digital Humanities 2220A/B.|An overview of core data structures and algorithms in computing, with a focus on applications to informatics and analytics in a variety of disciplines. Includes lists, stacks, queues, trees, graphs, and their associated algorithms; sorting, searching, and hashing techniques. Suitable for non-Computer Science students.|Western Main Campus|3 lecture hours, 1 laboratory/tutorial hour.
DIGIHUM 2220A/B|COMPUTING AND INFORMATICS FOR THE HUMANITIES I|Computer Science 1025A/B or Computer Science 1026A/B, Engineering Science 1036A/B, Computer Science 2120A/B.|Computer Science 1033A/B or Digital Humanities 1011A/B.|Essential information processing skills for humanities students. Includes an introduction to programming; creating programs and scripts to address problems that arise in applied research; examples of data sets and projects drawn from different areas of the humanities and social science. No previous formal programming background required.|Western Main Campus|3 lecture hours, 1 laboratory/tutorial hour.
DIGIHUM 2144A/B|DATA ANALYTICS: PRINCIPLES AND TOOLS|Computer Science 2034A/B.||A comprehensive and interdisciplinary introduction to data analytics using modern computing systems, with equal attention to fundamentals and practical aspects. Topics include sources of data, data formats and transformation, usage of spreadsheets and databases, statistical analysis, pattern recognition, data mining, big data, and methods for data presentation and visualization.|Western Main Campus|2 lecture hours, 2 laboratory/tutorial hours.
DIGIHUM 2130A/B|INTRODUCTION TO DIGITAL HISTORY|History 3816F/G, Digital Humanities 3902F/G, the former History 2816A/B.||In this course students will learn how historical content is produced, presented and published online; how to find and evaluate digital primary and secondary sources; and how to use computational techniques to work with digital resources. No previous background in the subject area is required.|Western Main Campus|4 lecture hours.
DIGIHUM 2127A/B|CREATIVITY STUDIO|||Practice and enhance your creativity with hands-on creative collaborative exercises, learning to develop a personal business plan and learning the fundamentals of solving problems with design thinking.|Western Main Campus|2 hours (1-hour lecture + 1-hour studio practice).
DIGIHUM 2126F/G|ETHICS FOR A DIGITAL WORLD|Philosophy 2078F/G.||Through social media, computer gaming, and virtual communities, we spend a considerable portion of our lives in the digital world. What moral considerations ought to guide our conduct as digital citizens? This class will explore cases of online ethical challenges and theories that might provide some answers.|Western Main Campus|3 hours, blended format.
DIGIHUM 2125F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2124F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2123F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2122F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2121F/G|SPECIAL TOPICS IN DIGITAL HUMANITIES||Computer Science 1033A/B or Digital Humanities 1011A/B.|Please consult with the Department for current course offerings.|Western Main Campus|3 hours.
DIGIHUM 2120F/G|DIGITAL CREATIVITY|||From recent work in arts, neuroscience and business to exemplary cases of present-day creativity, this course studies and fosters innovation. It provides hands-on experience and collaborative work that will lead to the development of a creative idea into a business plan.|Western Main Campus|3 hours.
DIGIHUM 1011A/B|PROGRAMMING MY DIGITAL LIFE|||This is a first course in programming for students of all backgrounds. Topics include images, video, sound, and text; user interface; interaction design; web services and APIs; and microcontroller platforms like Arduino and Phidgets. Students complete a series of projects on animation, installation art, electronic music, theatre, visualization, and/or robotics.|Western Main Campus|3 hours.
DIGICOMM 3307A/B|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 lecture hours.|Western Main Campus|
DIGICOMM 3306A/B|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 hours.|Western Main Campus|
DIGICOMM 3305F/G|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 hours.|Western Main Campus|
DIGICOMM 3304F/G|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 lecture hours.|Western Main Campus|
DIGICOMM 3210F/G|VIRTUAL WORLDS: THEORY, PRACTICE AND COMMUNICATIONS|MIT 3653G if taken in 2011-2012.||What does it mean to live and operate within the creativity of your and others' imaginations? This course examines this and other questions within Virtual Worlds, critically and productively, as they pertain to various theoretical and applied professional uses of these worlds. Emphasis is on inworld projects and critiques.|Western Main Campus|3 lecture/lab hours.
DIGICOMM 3209F/G|SOCIAL MEDIA & ORGANIZATIONS|MIT 3373F/G.||This course provides hands-on experience with building, evaluating, and using social media tools such as blogs, wikis, and social networking websites within an organizational context. Relevant issues such as user privacy, social media policies, effective planning and implementation, and organizational impact will be addressed. Emphasis will be fall on the professional and applied applications of this topic.|Western Main Campus|3 lecture hours
DIGICOMM 3206F/G|FROM ARCADES TO ESPORTS: VIDEO GAME CULTURE, TECHNOLOGY, AND INDUSTRY|MIT 3371F/G.||Video games have a profound influence on popular culture, digital technology, and the entertainment industry.  This course examines the fundamentals of video games, their role in culture and society, how they are used for different ends, and the benefits and concerns associated with their use.|Western Main Campus|3 lecture hours
DIGICOMM 3205F/G|NET-WORK: LABOUR AND PROFIT IN WEB 2.0|MIT 3133F/G.||This course will explore the impact that User-Generated Content, Social Networks have had on contemporary conceptions of labour and work.  Through the lens of Autonomist Marxism and related theory, the course will consider the changes taking place in labour processes and the products being produced by this shift to immaterial work. Emphasis will be on the professional and applied applications of this topic, with special attention payed to ethics of and exploitation within knowledge work and digital labour.|Western Main Campus|3 lecture hours
DIGICOMM 3204A/B|SEARCH ENGINES & WEB DATA MINING|||The course will examine how search engines are built, how they work, and how to evaluate them. The course will introduce basic concepts and techniques of Web data mining including Web hyperlink analysis, Web traffic analysis and Web server log analysis. Emphasis will be fall on the professional and applied applications of this topic.|Western Main Campus|3 lecture hours.
DIGICOMM 3203F/G|SEARCH AND DISCOVERY|||Information searching and its relationship to the design of search technologies. Theory and practice of retrieval from commercial databases; Web search engine design; the implications of ranking algorithms and recommender systems; open-source and proprietary search technologies. Emerging search functionalities based on multimedia, natural language processing and social software. Emphasis will be fall on the professional and applied applications of this topic.|Western Main Campus|3 lecture hours
DIGICOMM 2311F/G|WRITING ACROSS DIGITAL MEDIA PLATFORMS|Digital Communications 2305F/G if taken in 2020-21.||This course considers the relationship between written language and new media technologies.Students will engage critically and creatively with various digital tools and environments as a wayto evolve their own skill set for writing, interfacing and collaborating with others, and producingcontent across a range of platforms and contexts.|Western Main Campus|3 lecture hours.
DIGICOMM 2310A/B|SOCIAL MEDIA, VIRTUAL GAMING AND NETWORKED LIFE|MIT 2155A/B.||This course explores social media, such as Facebook and Twitter, virtual worlds, online games, networked communities, new media and e-learning. It examines topics including on online identity, gender in cyberspace, videogame culture, Web 2.0, digital design, surveillance and privacy.|Western Main Campus|3 lecture hours.
DIGICOMM 2309A/B|FUNDAMENTALS OF DIGITAL MARKETING|Digital Communication 2305F/G, MOS 3323A/B.||This course will explore the best practices of strategic digital marketing communications campaigns. Course components include campaign planning, audience research, social media marketing, mobile marketing, digital advertising, content management and data analytics across multiple platforms.|Western Main Campus|3 lecture hours.
DIGICOMM 2306A/B|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 hours.|Western Main Campus|
DIGICOMM 2305F/G|SPECIAL TOPICS IN DIGITAL COMMUNICATION|||Extra Information: 3 hours.|Western Main Campus|
DIGICOMM 2204A/B|INTRODUCTION TO GRAPHIC DESIGN|MIT 2600A/B, Registration in the MTP Program.||This course introduces the student to the concepts of visual literacy. Study concentrates on the elements and principles of basic two dimensional designs, visual communication and its objective theoretical application. Current industry standard vector-based, bitmap-based and presentation software applications are introduced to allow the student to practice and exercise visual literacy. Emphasis will be fall on the professional and applied applications of this topic.|Western Main Campus|3 lecture hours
DIGICOMM 2203A/B|INTRODUCTION TO WEB DESIGN & DIGITAL IMAGING|MIT 2570A/B, Registration in the MTP Program.||This course focuses on the design and production of information for websites. While learning the basics of information architecture and usability, students will also discover how to use XHTML and CSS for the creation of static websites. Key concepts in digital imaging, such as image compression will also be introduced.|Western Main Campus|1 lecture hour, 3 laboratory hours
DIGICOMM 2200F/G|SOCIAL NETWORKING: THEORY AND PRACTICE|The former MIT 2374F/G, MIT 3375F/G.||In today's online environment, social networking sites (SNSs) have altered the social landscape. Students will become fluent in the theoretical and practical aspects of social networking, in addition to understanding its contexts and social issues such as bullying, anonymity, addiction, anxiety, and narcissism. This course will introduce the conceptual tools required to carry out a group work component.|Western Main Campus|3 lecture hours.
DIGICOMM 2002A/B|VIRTUAL WORLDS|||A study of principles and production through which students will gain an understanding of theoretical and practical applications of virtual worlds and simulation spaces. Students will learn the techniques and critical skills required for creating and managing communities, identities and interactivity in virtual and online worlds.|Western Main Campus|3 hours
DIGICOMM 2001A/B|SOCIAL MEDIA|||A study of the principles and production of social media through which students will gain an understanding of online information architecture and organization. Students will learn the techniques and critical skills required for creating and managing content on a variety of platforms including, but not limited to, web sites, blogs, twitter, and Facebook.|Western Main Campus|3 hours
DATASCI 4999Z|DATA SCIENCE THESIS|Computer Science 3380F/G/Z, Computer Science 4460Z, Computer Science 4480Y, Computer Science 4470Y, Computer Science 4490Z, Statistical Science 4999F/G/Z, Actuarial Sciences 4997F/G/Z, Financial Modelling 4998F/G/Z.|Registration in the Honours Specialization in Data Science. Data Science 3000A/B (or former Computer Science 4414A/B, the former Statistical Sciences 3850F/G, the former Software Engineering 4460A/B). 1.5 courses from Computer Science 3319A/B, Computer Science 3340A/B, Statistical Sciences 3843A/B, Statistical Sciences 3859A/B, Statistical Sciences 3860A/B, Statistical Sciences 4850F/G.|An individual research project on a specific data science problem supervised by a Western faculty member. A written thesis and an oral presentation will be required.|Western Main Campus|Starts in September of an academic year and ends in April of the same academic year.
DATASCI 3000A/B|INTRODUCTION TO MACHINE LEARNING|the former Computer Science 4414A/B, the former Statistical Sciences 3850F/G, the former Software Engineering 4460A/B.|(Data Science 1200A/B or Computer Science 1026A/B or Computer Science 1027A/B or Computer Science 2120A/B or Digital Humanities 2220A/B or Engineering Science 1036A/B or Data Science 2000A/B or Integrated Science 2002B or Statistical Sciences 2864A/B); (Data Science 2000A/B or Integrated Science 2002B or Statistical Sciences 2857A/B or 0.5 course from the Introductory Statistics Course List); (Mathematics 1600A/B or Numerical and Mathematical Methods 1411A/B or the former Applied Mathematics 1411A/B or Data Science 2100A); (Calculus 1000A/B or Calculus 1500A/B or Numerical and Mathematical Methods 1412A/B or the former Applied Mathematics 1412A/B or Data Science 2100A). Note that Data Science 2000A/B, Integrated Science 2002B and Data Science 2100A can be used to fulfill multiple prerequisites.|Basic principles of machine learning (estimation, optimization, prediction, generalization, bias-variance trade-off, regularization) in the context of supervised (linear models, decision trees, deep neuronal networks) and unsupervised (clustering and dimensionality reduction) statistical learning techniques. The course emphasizes the ability to apply techniques to real data sets and critically evaluate their performance.|Western Main Campus|2 lecture hours/week, 2 lab hour/week. For a full list of Introductory Statistics courses please see: https://www.westerncalendar.uwo.ca/Departments.cfm?DepartmentID=55&SelectedCalendar=Live&ArchiveID=
DATASCI 2100A|MATHEMATICS FOR DATA SCIENCE|Mathematics 1600A/B, Applied Mathematics 1411A/B.|1.0 courses from Mathematics, Calculus, or Applied Mathematics (1000 and higher) with a minimal grade of 60%. Data Science 2000A/B or Integrated Science 2002B can be used to fulfil 0.5 of the requirements.|Mathematical background for students wanting to take Data Science 3000A/B, but missing background in linear algebra and calculus. Vector and matrix algebra, norms, linear dependence, inverses, vector spaces, eigenvectors and eigenvalues, Gradients, Hessians, basics of optimization. All concepts are explained in the context of data science examples.|Western Main Campus|3 lecture hours/week, 1 tutorial hour/week.
DATASCI 2000A/B|INTRODUCTION TO DATA SCIENCE|Integrated Science 2002B.|1.0 courses from Mathematics, Calculus, or Applied Mathematics (numbered 1000 and higher) with a minimum mark of 60%. Data Science 1000A/B (with a minimum grade of 60%) can be used to meet 0.5 of the 1.0 mathematics course requirements.|Covers three basic concepts of data science together with the corresponding techniques: Sampling to estimate properties of a population (Bootstrap), random assignment and experiments to make causal inferences (randomization test), and model selection to enable good predictions (cross-validation). Emphasizes practical data handling and programming skills in Python.|Western Main Campus|2 lecture hours/week, 2 laboratory hours/week.
DATASCI 1200A/B|PROGRAMMING FOR DATA SCIENCE|Computer Science 1025A/B, Computer Science 1026A/B, Computer Science 2120A/B, Engineering Science 1036A/B, Digital Humanities 2200A/B.||Programming for Data Science is intended for students with little or no background in programming. Design and analysis of algorithms and their implementation as modular, reliable, well-documented programs written in a modern programming language.|Western Main Campus|3 lecture hours/week, 2 laboratory hours/week.
DATASCI 1000A/B|DATA SCIENCE CONCEPTS|Statistical Sciences 1023A/B, the former Statistical Sciences 1024A/B.|One or more of Ontario Secondary School MCV4U, MHF4U, MDM4U, Mathematics 0109A/B, Mathematics 0110A/B, Mathematics 1229A/B, or equivalent.|Students will learn how to visualize and analyze continuous and categorical data from various domains, using modern data science tools. Concepts of distributions, sampling, estimation, confidence intervals, experimental design, inference, correlation will be introduced in a practical, data-driven way.|Western Main Campus|3 lecture hours/week, 1 laboratory hour/week.
DANCE 4492A/B|INDEPENDENT STUDY IN DANCE|||Reading and discussion on, or field experience in, selected topics in Dance agreed upon through consultation between the student and the supervising professor.|Western Main Campus|
DANCE 4491A/B|INDEPENDENT STUDY IN DANCE|||Reading and discussion on, or field experience in, selected topics in Dance agreed upon through consultation between the student and the supervising professor.|Western Main Campus|
DANCE 4472A/B|SPECIAL TOPICS IN DANCE|||Selected topics in the area of dance. Topics and course descriptions will be available at the Undergraduate Program office.|Western Main Campus|3 lecture hours.
DANCE 3372A/B|INTERMED DANCE COMP||Dance 3371A/B|Group creative movement exploration and problem solving using form and structure of movement to express ideas, feelings and/or images in the finished product of a dance composition.|Western Main Campus|2 lecture hours, 2 laboratory hours.
DANCE 3371A/B|BEGINNING DANCE COMPOSITIONS & PRODUCTION||Dance 2270A/B, Dance 2274A/B or permission of Music.|Individual creative movement exploration and problem solving, using the elements of dance to express ideas, feelings and/or images in the finished product of a dance composition.|Western Main Campus|2 lecture hours, 2 laboratory hours
DANCE 2476A/B|INTRODUCTION TO THEATRE DANCE||1.0 credit from Dance 2275A/B, Dance 2276A/B, Dance 2375A/B, or permission of Music.|Development of movement skills and application of theoretical knowledge that will assist the student in understanding and appreciating various dance types and styles that are used in musical and theatre productions including modern, tap, jazz, ballroom and Latin American dance.|Western Main Campus|6 hours lecture/laboratory.
DANCE 2375A/B|BALLET FUNDAMENTALS||Dance 2275A/B|Development of classical ballet techniques through in-depth study of body line, posture and weight placement, coordinated use of arms and eyeline, and the relationship between musicality and dynamics. Sessions will be comprised of rigorous ballet classes where the foundations of techniques and movement combinations are discussed as part of the class.|Western Main Campus|6 hours lecture/laboratory.
